Ant_ID,colony,colony_act,tag_id,body_size,age(days),nb_foraging_events,group_period1,group_period2,period1to2,group_period3,period2to3,group_period4,period3to4,visits_to_brood,visits_to_nest_entrance,visits_to_rubbishpile,nb_interaction_nurses,nb_interaction_cleaners,nb_interaction_foragers,nb_interaction_queen
Ant6,4,1,6,173.254,176,95,F,F,same,NA,NA,NA,NA,0.272727,4,0.363636,3.1818182,41,642.09091,0
Ant209,4,1,209,183.175,176,0,F,F,same,F,same,NA,NA,3,3.09091,0,34.363636,163.27273,398.63636,0.1818
Ant252,4,1,252,183.175,176,2,F,NA,NA,NA,NA,NA,NA,3.63636,9.18182,0,5.8181818,63.727273,876.90909,0
Ant353,4,1,353,146.154,190,11,F,NA,NA,NA,NA,NA,NA,29.0909,0.818182,0.363636,28.727273,112.63636,460.81818,0
Ant117,4,1,117,160.462,190,0,C,C,same,C,same,F,switch,88.4545,0.272727,3.45455,128.09091,198.18182,179,6.727
Ant153,4,1,153,215.928,190,0,C,C,same,C,same,F,switch,50.0909,0,0.181818,82.545455,155.09091,122.90909,1.636
Ant26,4,1,26,219.208,190,0,F,F,same,F,same,F,same,46.0909,0,0,25.454545,95.090909,392.81818,0.2727
Ant527,4,1,527,140.089,197,0,F,NA,NA,NA,NA,NA,NA,3.54545,10.3636,0.545455,8.8181818,69.363636,439.36364,0
Ant257,4,1,257,158.092,197,0,F,F,same,F,same,NA,NA,0.181818,2.72727,0,39.090909,133.54545,334,0.2727
Ant347,4,1,347,165.801,197,0,F,F,same,F,same,F,same,33.3636,4,0.818182,37.454545,126.90909,288.18182,0.1818
Ant148,4,1,148,164.11,232,49,F,F,same,F,same,NA,NA,0.545455,14.6364,0,3.1818182,30.181818,516.09091,0
Ant395,4,1,395,133.959,246,0,C,C,same,NA,NA,NA,NA,112.273,0.272727,2.72727,133.45455,106.72727,46.545455,7
Ant564,4,1,564,136.077,246,0,C,C,same,F,switch,F,same,107,0.181818,93.2727,115.27273,196,165,1.182
Ant552,4,1,552,147.98,246,0,N,N,same,N,same,NA,NA,348.455,0.454545,20.8182,197.18182,151.54545,61.636364,6.091
Ant63,4,1,63,151.4,246,0,N,N,same,N,same,F,switch,250.182,0,0.0909091,165.90909,109.72727,28.545455,5
Ant501,4,1,501,158.619,246,0,C,C,same,C,same,F,switch,22.4545,0,0,118.81818,209,158.27273,2.091
Ant50,4,1,50,161.45,246,0,N,N,same,NA,NA,NA,NA,333.727,0.181818,1.54545,251.90909,107.45455,30.636364,16.45
Ant186,4,1,186,164.012,246,0,C,C,same,NA,NA,NA,NA,48.9091,0,2,94.909091,156.90909,234.54545,2.455
Ant4,4,1,4,197.063,246,0,C,F,switch,C,switch,F,switch,31.4545,8.81818,3.18182,75.545455,167.90909,184.27273,1.727
Ant356,4,1,356,214.704,246,15,F,F,same,F,same,F,same,0.636364,166,0.272727,9.0909091,65.363636,681.27273,0
Ant560,4,1,560,212.934,316,0,F,F,same,F,same,F,same,6.36364,63.9091,0.545455,30.727273,121.63636,626.90909,0.7273
Ant64,4,1,64,227.343,316,0,F,F,same,F,same,F,same,1.27273,4.81818,0.727273,65.909091,157.72727,435.18182,0.2727
Ant73,4,1,73,123.081,330,1,F,F,same,F,same,NA,NA,4.18182,6.09091,0,6.2727273,44.636364,449.36364,0
Ant124,4,1,124,131.469,330,9,C,NA,NA,NA,NA,NA,NA,129.455,3.27273,4.63636,88.272727,195.18182,313.54545,4.182
Ant43,4,1,43,136.62,330,26,F,F,same,F,same,NA,NA,6.09091,14.7273,0,4.8181818,57.090909,511.72727,0
Ant202,4,1,202,137.801,330,0,F,C,switch,C,same,F,switch,11.1818,0,14.6364,54.727273,203.45455,302.63636,0.4545
Ant342,4,1,342,138.192,330,0,C,C,same,NA,NA,NA,NA,2.81818,0.727273,0.909091,41.818182,98.454545,172.63636,0.2727
Ant238,4,1,238,140.004,330,18,F,F,same,F,same,NA,NA,0.545455,12.2727,0,6,61.545455,496.36364,0
Ant137,4,1,137,140.801,330,0,N,C,switch,N,switch,NA,NA,449.364,0.0909091,4.72727,176.81818,128.36364,39.363636,9.727
Ant263,4,1,263,141.485,330,4,F,NA,NA,NA,NA,NA,NA,14.3636,0.636364,0,10.363636,85,333.18182,0
Ant242,4,1,242,149.482,330,0,N,N,same,N,same,C,switch,229,0,1.18182,231.18182,101.45455,21.272727,13
Ant42,4,1,42,149.753,330,0,C,C,same,C,same,F,switch,137.364,0,2.81818,129.45455,191.27273,100.36364,4.273
Ant139,4,1,139,150.546,330,0,N,N,same,N,same,N,same,447.455,0.0909091,2.45455,159.36364,75.090909,18.636364,13.91
Ant394,4,1,394,151.182,330,0,N,C,switch,C,same,F,switch,115.818,0.363636,0.818182,124,102.54545,44.818182,3.727
Ant0,4,1,0,153.496,330,0,N,N,same,N,same,N,same,287.636,0.181818,2,167.09091,65.272727,12.545455,6.636
Ant97,4,1,97,153.522,330,0,F,F,same,C,switch,F,switch,14.2727,0.636364,1.81818,58.909091,227.36364,322.63636,0.8182
Ant215,4,1,215,153.629,330,0,C,C,same,C,same,C,same,89.0909,0,0,95.545455,113.90909,91.090909,1.182
Ant289,4,1,289,154.651,330,0,F,F,same,F,same,NA,NA,11.8182,1.81818,3.72727,17.363636,97.818182,358,0.09091
Ant173,4,1,173,161.505,330,0,N,N,same,N,same,N,same,290.273,0,0.727273,214.81818,101.36364,27.818182,14.09
Ant55,4,1,55,161.645,330,0,C,C,same,F,switch,F,same,31.2727,0.363636,5.72727,80.454545,183.81818,125.63636,1.455
Ant140,4,1,140,163.049,330,0,C,NA,NA,NA,NA,NA,NA,108,0.181818,0.636364,92.454545,118,162.18182,1.727
Ant390,4,1,390,163.444,330,0,N,N,same,N,same,N,same,161.091,0.363636,3.36364,151.45455,64.454545,14.818182,11.73
Ant29,4,1,29,165.421,330,0,N,C,switch,C,same,C,same,144.091,0.0909091,4.36364,201.09091,190.63636,85.363636,2.455
Ant38,4,1,38,165.858,330,50,F,F,same,F,same,F,same,4.18182,12.2727,0.727273,28.272727,102.09091,619.18182,1.545
Ant492,4,1,492,168.253,330,32,F,F,same,F,same,NA,NA,3.45455,5.09091,5.09091,16.363636,86.454545,527.09091,0
Ant30,4,1,30,168.609,330,45,F,F,same,F,same,C,switch,0.909091,3.63636,0.181818,10.545455,87.181818,731.36364,0
Ant458,4,1,458,173.666,330,0,C,C,same,NA,NA,NA,NA,77.5455,0,0,100.72727,140.72727,158.18182,1.091
Ant178,4,1,178,178.18,330,0,N,N,same,N,same,N,same,61.8182,0,3.63636,189.72727,134.81818,41.636364,11.36
Ant482,4,1,482,178.404,330,0,C,N,switch,N,same,N,same,81.0909,0.0909091,0.818182,132.72727,142.72727,88.181818,4
