"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant252","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant137","Ant140","Ant142","Ant169","Ant176","Ant178","Ant195","Ant207","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant356","Ant394","Ant395","Ant400","Ant437","Ant458","Ant492","Ant507","Ant527","Ant552","Ant560","Ant564","Ant593"
"Ant395",21,2,18,2,0,3,0,0,8,9,1,1,8,0,8,0,1,19,0,15,1,7,20,1,5,1,7,1,6,7,4,1,13,1,4,2,4,6,0,8,3,0,0,3,6,0,1,3,0,6,10,13,1,4,8,16,0,5,7,5,0,0,3,7,0,1,2
"Ant400",24,1,29,0,0,9,2,3,4,9,12,21,10,2,12,0,17,6,0,2,6,9,2,2,20,10,10,0,9,0,22,2,4,16,2,2,6,2,0,11,3,0,0,9,5,0,16,1,0,11,8,6,2,8,1,5,5,0,4,6,5,0,3,22,10,5,12
"Ant437",6,2,26,10,6,11,4,2,6,4,3,2,3,4,23,0,6,1,4,28,1,10,2,6,6,0,18,7,8,0,3,8,14,7,7,9,5,8,1,5,6,3,0,6,12,0,1,8,0,1,1,16,10,0,1,14,7,4,0,7,5,0,9,6,2,7,5
"Ant458",6,1,30,8,10,11,4,6,1,4,1,2,7,2,13,1,4,4,9,5,2,7,2,8,1,0,7,2,18,5,1,22,23,7,7,4,12,13,4,11,18,12,4,0,19,4,0,10,0,1,2,7,0,2,1,21,5,6,7,0,3,43,11,0,3,7,9
"Ant492",22,2,28,0,0,7,1,1,4,9,7,11,12,7,6,0,26,1,0,14,10,12,1,1,9,0,8,2,1,0,19,0,0,4,3,6,5,0,0,7,6,0,0,4,7,0,6,11,0,15,4,2,0,17,11,8,0,5,5,3,0,0,0,11,15,3,6
"Ant507",4,0,30,10,7,9,16,0,0,0,6,0,0,0,10,11,0,2,26,4,0,0,0,32,0,0,2,0,27,0,0,29,35,0,4,3,1,14,25,7,12,3,14,0,1,15,0,3,0,0,0,1,0,3,0,20,0,0,0,43,0,0,13,1,0,31,0
"Ant527",5,0,24,11,4,17,5,2,1,13,0,1,0,6,6,2,0,4,17,13,8,1,1,7,1,2,6,5,14,0,1,20,10,0,7,6,4,8,5,2,3,1,0,5,2,3,3,5,0,2,0,2,2,5,2,5,3,3,9,11,0,13,0,5,2,4,0
"Ant552",21,0,31,5,0,0,2,1,10,10,8,5,9,4,8,0,10,7,1,2,3,30,2,0,11,1,4,12,0,12,5,1,4,14,5,13,7,1,0,3,3,0,0,9,2,0,12,4,0,9,24,2,7,13,16,3,7,22,6,0,11,1,5,0,14,1,12
"Ant560",16,5,27,3,4,0,1,0,6,8,14,17,15,6,17,0,29,10,0,6,1,11,0,0,12,16,7,13,1,1,5,4,2,7,1,5,15,1,0,9,0,0,0,6,11,0,7,13,0,26,1,1,6,2,4,2,0,10,2,3,15,0,2,14,0,0,14
"Ant564",3,0,43,0,7,38,9,3,3,7,3,4,0,15,14,11,1,5,15,3,12,9,0,23,10,0,16,7,8,0,0,4,11,8,15,1,5,17,19,12,1,3,11,2,24,16,5,8,0,0,0,4,0,1,3,8,1,5,7,7,3,31,4,1,0,0,7
"Ant593",26,0,62,0,14,2,0,4,5,17,0,8,20,15,16,0,1,5,0,3,4,55,0,2,30,0,14,4,5,8,1,6,7,3,4,4,8,0,0,7,9,0,0,0,6,0,13,10,0,1,0,9,2,8,5,28,2,12,5,9,6,0,0,12,14,7,0
