"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant139","Ant140","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant195","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant347","Ant353","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant527","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant142",1,60,0,1,43,0,34,36,19,12,26,32,1,1,16,13,14,4,1,38,9,14,42,1,18,9,10,0,0,0,16,7,4,29,0,16,15,0,3,0,29,6,22,38,3,29,2,3,13,0,17,0,0,3,0,43,0,0,0,0,0,10,0,2,5,22,6,0,0,22,0,0,11,9,0,0,28,9,20,13,21,2,40,24,3,4,10,7,23,0,0,0,0,0,16,1,5,34,10,1,25,1,23,25,18,0,0,33,7,0
"Ant149",0,22,0,0,30,0,19,12,8,34,21,40,0,1,24,14,24,0,0,41,3,4,17,0,1,1,4,0,0,0,17,2,2,27,0,9,9,0,0,0,14,1,18,18,0,9,1,0,0,0,23,0,0,4,43,0,0,0,0,0,0,30,0,1,1,33,3,0,0,36,0,0,7,10,0,0,15,2,2,8,45,0,68,12,12,0,10,8,28,0,0,0,0,0,7,0,2,25,6,1,10,0,21,20,16,0,0,22,0,0
"Ant153",19,0,1,13,0,4,0,0,3,3,0,4,0,0,0,0,0,3,4,0,1,0,0,1,0,5,3,8,1,8,0,11,3,0,9,0,1,4,1,6,0,0,4,0,3,0,3,5,1,1,4,5,1,0,0,0,0,2,3,2,4,0,3,0,4,0,6,24,0,0,4,0,0,1,0,6,0,2,0,1,0,8,0,0,0,0,0,4,0,0,10,1,0,9,0,10,0,0,2,17,1,37,17,0,1,2,7,28,6,3
"Ant156",1,0,6,1,0,4,0,0,0,0,0,0,3,1,0,0,0,2,4,0,1,0,0,4,0,5,0,0,8,0,0,1,22,0,16,0,2,12,0,6,3,1,0,0,0,1,4,5,0,8,0,0,22,11,0,0,2,0,2,10,10,0,12,0,1,0,0,4,2,0,5,5,0,1,16,4,0,1,0,1,0,3,0,0,0,1,0,4,0,8,1,9,6,0,0,0,0,0,0,2,0,14,4,0,0,5,5,0,1,5
"Ant159",1,0,2,6,0,8,0,0,0,3,0,0,1,2,0,0,0,0,8,1,3,0,1,11,0,5,3,1,7,11,5,7,4,0,6,0,0,1,0,9,0,3,1,0,4,0,1,15,7,0,3,9,6,0,0,0,3,2,0,2,6,0,5,5,12,0,1,0,0,0,3,22,0,0,0,11,1,0,0,0,0,2,0,0,0,0,1,0,1,1,3,0,4,4,1,15,0,0,3,3,0,8,0,0,0,9,3,0,8,1
"Ant169",5,1,3,3,0,5,0,0,0,0,0,0,1,1,0,0,0,1,15,0,0,0,0,2,0,1,0,10,8,3,0,2,8,0,12,0,1,19,2,3,1,0,1,0,3,0,0,2,4,4,0,8,12,3,0,0,2,10,2,0,16,0,13,8,6,0,0,4,4,0,4,12,0,0,2,2,0,1,0,0,0,2,0,0,0,8,1,0,0,0,5,9,10,10,0,3,0,0,0,8,0,1,0,0,0,17,6,1,2,4
"Ant173",3,0,9,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,33,0,0,0,0,7,0,5,0,9,2,0,1,2,4,0,1,0,0,25,1,4,0,0,0,0,2,0,0,12,3,4,0,4,11,0,0,0,4,10,6,16,0,0,9,18,1,0,0,11,8,0,7,29,0,0,6,0,0,0,0,0,0,1,0,0,0,1,2,0,0,14,0,4,2,11,0,11,0,0,1,6,0,2,1,0,0,2,11,0,1,5
"Ant176",0,4,0,0,15,0,6,1,5,11,7,8,0,0,3,9,1,1,1,16,11,1,4,0,0,2,10,0,0,0,5,3,0,10,0,2,7,0,2,0,19,0,3,8,0,14,0,0,1,0,8,0,0,7,10,30,0,0,0,0,0,0,0,0,0,7,2,0,0,6,0,0,22,9,0,0,9,3,3,8,0,0,3,5,7,0,3,6,1,0,0,0,0,0,0,0,3,8,0,0,11,0,11,12,14,0,0,2,0,0
"Ant178",4,1,1,4,0,7,0,0,2,1,0,1,3,3,0,0,0,1,8,0,0,0,0,7,3,4,0,8,6,10,1,9,2,0,6,0,0,8,1,10,0,0,0,1,0,1,2,13,3,0,0,1,9,0,0,0,3,12,5,13,9,0,0,5,3,0,1,1,1,0,8,3,0,0,5,4,0,1,0,0,0,4,0,0,0,1,0,1,0,1,10,3,1,9,1,13,0,1,0,11,0,6,1,0,0,5,5,6,10,5
"Ant186",0,0,21,4,0,11,0,0,11,1,17,2,8,7,0,11,2,3,13,0,14,0,10,1,1,6,0,2,7,1,6,8,10,1,6,0,0,4,3,5,3,7,3,8,3,3,2,5,4,0,3,1,0,3,2,1,0,0,5,8,18,0,5,0,3,0,5,0,8,4,15,4,16,0,11,2,7,2,9,2,0,8,0,7,0,12,2,9,0,7,3,0,1,0,3,5,0,6,1,0,2,3,11,2,9,4,0,9,10,0
"Ant190",2,1,3,2,1,8,0,1,4,0,1,1,8,6,0,1,0,5,3,3,3,1,0,7,0,4,3,15,1,23,3,10,9,2,0,0,6,11,4,8,0,0,8,0,0,3,2,8,9,15,0,13,0,1,5,1,4,1,12,6,1,0,3,3,0,0,1,6,2,0,0,0,0,0,2,10,6,2,1,2,0,4,0,0,0,5,0,1,0,6,2,2,2,9,5,0,0,0,2,7,0,3,2,0,2,8,4,0,5,1
"Ant195",0,0,0,0,5,0,36,0,0,0,1,0,0,0,17,3,24,0,0,15,0,0,35,0,0,0,2,0,0,0,2,0,0,4,0,1,2,0,0,0,17,0,0,34,0,0,0,0,2,0,2,0,0,0,22,33,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,31,0,30,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0
