"","Ant4","Ant260","Ant52","Ant540","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant518","Ant0","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant115","Ant117","Ant127","Ant137","Ant139","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant190","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant400","Ant482","Ant492","Ant501","Ant507","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant64",1,40,12,2,6,4,3,0,26,14,0,0,3,0,1,7,8,5,4,23,5,2,30,2,7,4,6,0,15,10,0,8,11,2,8,24,18,3,10,2,9,10,0,6,1,0,0,2,5,12,4,18,0,7,5,0,48,0,0,2,11,9,19,0,3,2,5,10,5,3,0,5,7,3,12,16,6
"Ant73",0,1,0,0,0,0,0,0,2,0,0,0,6,9,5,0,0,10,0,0,3,0,0,4,0,11,0,14,2,0,0,0,1,19,0,1,2,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,1,0,0,48,0,0,32,7,1,8,0,0,0,0,0,0,0,7,0,10,0,0,0,1,0
"Ant76",0,2,0,0,3,1,9,0,14,36,3,6,0,5,18,0,0,16,0,14,2,0,9,4,1,6,2,5,0,3,0,2,13,1,3,6,0,0,1,1,0,1,1,2,0,17,0,0,0,1,0,0,0,2,4,4,13,4,13,10,19,13,18,0,0,0,1,6,0,9,2,11,0,1,12,3,2
"Ant148",0,0,0,0,0,0,0,0,6,0,0,9,5,0,4,0,0,6,0,0,14,0,0,0,0,32,0,12,23,0,0,4,4,43,0,3,5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,32,0,0,21,0,4,4,0,0,0,0,0,0,0,21,0,11,0,0,0,0,0
"Ant158",3,21,1,1,4,11,3,0,18,23,1,5,18,4,0,1,0,18,1,28,6,2,10,1,2,15,2,9,2,3,2,1,17,6,2,9,7,0,4,0,0,3,0,3,1,9,1,0,3,4,0,0,5,0,3,6,11,15,11,11,13,10,25,1,1,0,2,4,2,11,0,2,0,1,11,6,0
"Ant191",2,3,27,9,3,3,2,0,0,2,7,0,0,0,1,0,4,0,4,0,0,8,0,1,5,0,4,0,1,3,3,5,1,1,1,0,1,4,4,5,7,10,2,6,2,0,8,5,6,9,15,26,0,1,4,0,0,0,0,1,0,1,0,6,3,2,1,1,1,0,2,0,14,17,5,3,0
"Ant202",9,6,3,11,6,1,21,0,9,0,8,0,0,0,0,4,0,5,8,0,4,0,3,7,11,0,18,0,10,4,8,12,1,0,2,0,10,23,8,5,4,11,2,1,2,0,6,11,9,6,0,0,0,2,18,0,14,1,0,9,1,1,4,0,9,4,1,3,6,0,2,1,0,79,4,6,13
"Ant209",0,61,0,0,3,0,2,2,72,12,5,10,16,6,18,0,5,0,0,50,18,2,16,15,5,32,1,15,1,13,0,11,39,1,0,53,1,0,2,0,0,0,0,0,1,3,0,0,0,0,2,0,3,0,4,7,18,1,6,25,54,12,75,0,0,0,0,17,1,2,8,21,2,0,51,17,0
"Ant268",0,0,11,12,2,0,0,0,2,1,4,0,0,0,1,4,8,0,0,0,0,2,0,1,3,0,0,0,1,1,9,2,0,0,0,0,1,1,26,3,6,14,2,7,4,0,2,3,13,0,5,4,0,13,5,0,1,0,0,0,0,1,1,3,1,2,5,0,3,2,16,0,0,21,2,1,1
"Ant308",0,62,0,0,0,2,12,0,49,14,23,0,14,0,28,0,0,50,0,0,7,0,11,12,1,24,9,7,10,7,0,9,28,6,3,22,22,0,1,1,0,1,1,4,1,7,0,0,0,4,0,0,0,1,8,2,26,0,3,15,17,15,58,2,6,0,1,11,0,18,15,26,1,0,28,18,1
"Ant518",3,7,3,1,0,7,12,0,21,9,5,3,2,14,6,0,4,18,0,7,0,0,20,5,1,11,12,8,9,14,7,18,16,10,8,13,10,2,2,0,5,4,0,2,1,4,2,1,2,4,2,0,6,4,2,4,8,0,16,2,4,11,14,0,8,1,3,1,0,7,23,6,2,10,13,14,3
"Ant0",1,3,4,3,3,3,0,0,0,1,2,0,0,0,2,8,0,2,2,0,0,0,1,0,5,1,3,0,1,1,0,1,1,0,0,0,1,0,3,21,0,16,4,4,28,0,0,4,36,1,3,16,0,6,1,0,2,13,0,0,0,0,2,6,1,0,2,1,1,0,0,0,13,8,1,1,0
