"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant55","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant242","Ant257","Ant263","Ant289","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant458","Ant492","Ant501","Ant507","Ant530","Ant593"
"Ant13",9,15,6,7,1,1,14,0,0,0,2,8,3,3,6,6,1,1,2,0,0,5,6,3,1,0,3,5,4,2,7,8,3,3,5,4,6,0,8,0,10,1,1,3,0,0,4,1,0,6,1,3,5,0,4,0,20
"Ant23",35,1,13,26,0,1,2,0,29,8,7,0,11,14,0,3,0,2,0,0,5,0,2,2,4,35,3,1,1,0,16,0,0,2,2,27,12,12,3,12,6,0,25,1,0,17,23,0,0,4,1,0,13,7,0,1,3
"Ant27",1,1,6,2,5,9,3,7,0,0,5,6,12,9,8,8,2,4,7,1,6,2,0,11,4,5,5,2,2,13,1,5,16,3,6,0,5,0,7,0,3,4,1,2,9,1,0,18,0,2,20,5,5,0,11,6,6
"Ant29",4,11,7,5,3,6,7,3,0,2,9,3,10,0,2,7,8,1,0,7,3,2,11,0,8,0,8,0,3,1,4,12,9,9,6,1,14,0,8,0,30,1,6,5,1,0,6,0,0,5,4,17,6,0,1,0,9
"Ant42",6,0,16,24,2,3,1,3,1,3,4,7,40,6,1,5,11,11,0,2,1,4,4,8,0,0,2,0,0,1,12,3,0,0,0,0,9,8,0,0,4,0,5,0,3,0,1,0,3,3,0,3,38,0,0,0,1
"Ant55",13,1,8,21,4,1,0,1,7,13,0,1,32,34,0,5,0,0,0,0,0,35,5,0,0,0,8,0,0,1,26,0,0,5,0,11,0,5,0,12,0,0,6,0,2,9,31,1,2,5,0,0,13,0,0,0,0
"Ant91",2,8,5,4,4,1,0,9,5,5,4,14,8,4,5,8,0,0,9,2,3,3,5,8,2,8,0,3,4,0,13,20,1,4,0,0,19,2,13,0,29,9,4,3,1,0,0,1,0,5,4,6,5,0,3,2,7
"Ant97",8,6,4,11,3,6,7,0,0,12,0,0,22,2,2,10,0,1,21,4,5,1,2,0,0,0,3,0,2,0,11,3,14,15,1,0,8,2,4,0,4,2,0,3,0,0,1,3,1,4,30,2,6,0,0,17,1
"Ant98",0,1,0,4,17,5,0,9,0,2,24,12,3,0,7,5,2,8,0,2,4,1,2,3,0,0,4,2,0,5,7,23,15,4,9,6,13,0,13,0,6,8,1,1,5,0,0,0,0,1,25,8,3,0,1,8,1
"Ant109",0,8,3,1,3,3,0,6,0,0,5,3,6,2,6,1,5,3,8,0,2,0,13,1,1,1,0,0,5,0,2,6,10,7,4,0,2,0,15,0,4,3,0,4,2,0,0,7,0,0,7,4,0,0,3,8,4
"Ant113",19,1,5,11,1,12,0,3,4,10,0,0,12,21,2,7,6,7,0,2,7,16,1,4,12,26,13,11,7,2,0,15,4,19,1,6,22,1,0,5,5,0,9,7,0,0,13,0,1,9,6,2,15,0,0,0,2
