,"colony,date,ant_id,x,y,file_name,ant_type"
229,"N2,8/14/12,101,689.360759,327.841772,2004,2"
230,"N2,8/14/12,101,721.259494,288.348101,1864,2"
231,"N2,8/14/12,101,709.107595,305.056962,1629,2"
232,"N2,8/14/12,102,715.183544,295.943038,3400,2"
233,"N2,8/14/12,102,706.06962,295.943038,3379,2"
234,"N2,8/14/12,102,730.373418,298.981013,3189,2"
235,"N2,8/14/12,102,719.514925,301.126866,3049,2"
236,"N2,8/14/12,102,703.395522,326.91791,2931,2"
237,"N2,8/14/12,102,707.588608,303.537975,2863,2"
238,"N2,8/14/12,102,736.449367,298.981013,2752,2"
239,"N2,8/14/12,102,724.297468,294.424051,2683,2"
240,"N2,8/14/12,103,715.183544,292.905063,3924,2"
241,"N2,8/14/12,103,724.297468,280.753165,3875,2"
242,"N2,8/14/12,103,710.626582,294.424051,3870,2"
243,"N2,8/14/12,103,552.651899,332.398734,3744,2"
244,"N2,8/14/12,103,584.550633,339.993671,3717,2"
245,"N2,8/14/12,103,634.677215,350.626582,3675,2"
246,"N2,8/14/12,103,633.158228,338.474684,3663,2"
247,"N2,8/14/12,103,646.829114,361.259494,3635,2"
248,"N2,8/14/12,103,660.5,346.06962,3590,2"
249,"N2,8/14/12,103,642.272152,330.879747,3583,2"
250,"N2,8/14/12,103,668.094937,327.841772,3515,2"
251,"N2,8/14/12,103,663.537975,326.322785,3495,2"
252,"N2,8/14/12,104,719.740506,291.386076,5360,2"
253,"N2,8/14/12,104,713.664557,309.613924,5335,2"
254,"N2,8/14/12,104,728.85443,305.056962,5316,2"
255,"N2,8/14/12,104,721.259494,323.28481,5312,2"
256,"N2,8/14/12,104,675.689873,370.373418,5238,2"
257,"N2,8/14/12,104,672.651899,330.879747,5208,2"
258,"N2,8/14/12,104,677.208861,329.360759,5082,2"
259,"N2,8/14/12,104,734.93038,311.132911,4991,2"
260,"N2,8/14/12,104,718.221519,314.170886,4987,2"
261,"N2,8/14/12,104,722.778481,294.424051,4974,2"
262,"N2,8/14/12,105,731.892405,286.829114,6588,2"
263,"N2,8/14/12,105,722.778481,289.867089,6545,2"
264,"N2,8/14/12,105,734.93038,274.677215,6521,2"
265,"N2,8/14/12,105,716.702532,302.018987,6405,2"
266,"N2,8/14/12,105,710.626582,303.537975,6404,2"
267,"N2,8/15/12,1,1360.71277,335.606383,1367,1"
268,"N2,8/15/12,1,1323.69149,347.095745,1354,1"
269,"N2,8/15/12,1,1310.92553,339.43617,1346,1"
270,"N2,8/15/12,1,1314.75532,336.882979,1335,1"
271,"N2,8/15/12,1,1318.58511,317.734043,1328,1"
272,"N2,8/15/12,1,1328.79787,335.606383,1327,1"
273,"N2,8/15/12,2,1335.18085,364.968085,2932,1"
274,"N2,8/15/12,2,1305.81915,356.031915,2920,1"
275,"N2,8/15/12,2,1295.60638,345.819149,2916,1"
276,"N2,8/15/12,2,1317.30851,335.606383,2903,1"
277,"N2,8/15/12,2,1322.41489,331.776596,2897,1"
278,"N2,8/15/12,3,1307.09575,366.244681,3238,1"
279,"N2,8/15/12,3,1296.88298,362.414894,3227,1"
280,"N2,8/15/12,3,1312.20213,345.819149,3222,1"
281,"N2,8/15/12,3,1304.54255,325.393617,3219,1"
282,"N2,8/15/12,3,1316.03192,331.776596,3215,1"
283,"N2,8/15/12,4,1377.30851,398.159574,4284,1"
284,"N2,8/15/12,4,1333.90426,395.606383,4226,1"
285,"N2,8/15/12,4,1321.1383,345.819149,4215,1"
