"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant158","Ant191","Ant196","Ant209","Ant252","Ant308","Ant311","Ant518","Ant0","Ant13","Ant23","Ant27","Ant32","Ant43","Ant44","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant263","Ant289","Ant298","Ant324","Ant342","Ant347","Ant356","Ant380","Ant390","Ant394","Ant395","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant530","Ant538","Ant560","Ant564"
"Ant255",3,3,2,0,1,0,0,0,0,1,4,1,2,0,0,3,0,1,0,0,2,0,0,0,1,1,0,0,0,2,1,0,0,2,0,0,0,3,0,0,0,1,0,0,1,5,1,2,0,4,2,1,0,1,1,3,0,0,0,1,2,9,0,2,2,0,4,0,1,0,0,1,0,1,1,1,3,10,0
"Ant263",0,5,1,0,5,1,2,4,3,3,3,0,4,0,1,6,1,3,0,1,4,7,4,4,1,1,0,1,0,0,7,0,5,0,5,0,1,6,9,33,0,2,3,39,0,3,0,28,1,10,0,5,0,5,1,8,0,0,2,0,3,17,1,3,4,0,2,3,11,4,0,5,11,0,1,13,6,0,0
"Ant289",2,0,1,10,0,0,4,0,0,0,0,13,0,16,9,0,1,0,4,0,0,0,1,1,0,0,4,0,0,25,2,17,0,7,0,4,10,0,1,0,3,0,0,0,1,0,4,0,0,0,2,0,8,0,14,7,0,2,0,2,1,0,1,7,0,1,1,0,0,0,1,1,1,31,14,0,0,0,6
"Ant298",0,0,9,1,2,1,51,0,15,7,0,0,0,4,0,6,2,4,8,0,1,3,1,0,0,10,0,4,4,2,5,13,3,2,4,1,0,9,1,0,3,3,8,0,2,7,3,1,3,1,8,10,6,3,1,10,1,0,2,0,13,12,1,5,3,0,0,2,5,1,14,0,2,6,0,8,4,0,0
"Ant324",4,2,5,4,3,3,2,6,10,7,10,1,0,0,9,12,2,4,4,5,5,5,1,5,10,4,2,5,2,2,9,9,8,3,10,0,3,5,8,0,0,2,5,0,0,2,9,7,15,3,3,8,0,7,3,6,2,3,1,13,0,16,0,4,0,0,2,9,27,5,24,4,5,5,5,4,16,4,0
"Ant342",1,36,5,0,22,46,2,14,11,3,19,0,8,0,0,21,4,26,0,8,18,10,0,1,2,8,0,3,3,1,12,1,11,6,12,0,0,11,9,1,3,8,5,8,0,8,17,22,32,22,1,15,1,14,0,4,9,17,0,12,16,0,1,5,18,0,0,28,29,16,27,15,0,0,0,31,26,2,0
"Ant347",0,0,1,13,0,0,1,0,2,4,0,14,0,8,5,1,0,0,22,5,0,0,0,1,0,0,0,0,2,13,0,15,0,0,0,2,31,1,0,0,11,0,0,0,4,0,1,0,0,0,6,0,3,0,20,0,0,1,1,1,0,1,0,4,0,6,0,0,1,0,1,0,0,1,0,0,4,0,13
"Ant356",5,6,7,5,0,0,1,4,4,4,0,6,1,0,11,3,2,0,4,1,1,0,12,7,1,1,2,0,0,20,2,5,2,5,1,17,5,0,0,0,2,3,1,0,3,5,0,0,0,7,4,0,0,1,4,20,2,3,7,5,4,5,4,0,6,0,2,2,2,5,11,2,1,9,0,2,5,0,7
"Ant380",8,5,13,0,7,9,4,7,9,0,3,0,2,1,1,12,6,5,3,4,1,1,0,3,1,0,1,9,5,3,6,0,4,5,3,0,0,10,4,0,0,0,1,0,0,7,6,12,3,27,1,8,0,1,0,5,2,4,0,3,0,18,0,6,0,3,3,11,21,13,6,9,2,0,0,9,11,2,0
"Ant390",4,1,1,12,0,0,11,0,0,7,0,12,0,4,5,0,0,0,11,3,0,1,9,11,2,0,1,0,0,12,0,4,0,0,0,15,14,0,0,0,18,1,5,0,76,0,0,0,0,0,17,0,11,0,8,8,0,0,1,0,0,0,6,0,3,0,0,1,0,0,2,2,0,2,28,1,0,0,18
"Ant394",5,2,5,0,3,1,3,0,0,4,0,4,1,1,2,0,0,2,4,6,0,0,1,1,8,0,10,0,0,2,2,6,1,1,0,1,0,0,0,0,0,0,4,0,0,9,0,0,0,1,0,0,3,0,2,8,4,2,1,0,2,0,0,2,3,0,0,2,0,0,1,1,1,2,4,0,14,2,2
"Ant395",3,17,4,1,2,12,5,1,1,2,2,1,6,0,0,4,4,4,0,13,6,7,1,2,5,1,2,14,1,4,0,0,6,2,6,0,0,10,3,4,1,4,10,1,0,3,5,19,8,20,1,12,1,3,1,4,0,3,0,2,9,28,0,2,11,1,2,0,10,10,2,9,0,0,0,20,22,1,1
