"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant73","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552","Ant593"
"Ant196",1,2,1,6,3,13,2,1,1,14,1,5,0,4,6,8,14,4,1,2,0,16,6,7,10,11,2,14,17,21,1,15,14,10,14,1,0,0,5,8,11,8,0,2,18,2,2,5,10,1,5,7,1,9,6,9,4,4,0,7,11,4,0,9,1,0,2,3,8,10,7,0,5,4,0
"Ant202",0,2,6,0,27,0,0,0,4,2,0,0,4,0,3,4,3,15,0,0,0,0,6,0,8,1,60,0,5,4,2,0,2,16,8,9,0,25,0,5,54,1,16,90,0,30,0,19,10,18,0,2,0,0,0,2,2,0,4,0,13,61,0,3,0,21,96,6,0,47,0,46,0,1,40
"Ant209",5,0,0,3,2,6,11,3,0,8,7,2,6,3,0,15,21,2,0,8,3,10,1,3,11,5,6,0,3,7,1,12,1,0,4,1,2,0,1,0,3,11,0,4,9,3,5,2,7,3,6,10,5,18,6,14,12,14,1,4,4,1,0,18,0,3,1,0,12,3,1,0,4,6,0
"Ant268",1,1,3,6,8,6,10,5,3,6,6,1,8,4,15,0,4,17,1,6,7,10,5,14,10,16,8,7,3,9,2,8,12,8,1,4,3,0,8,8,6,14,0,5,11,7,14,5,6,1,11,9,2,14,6,4,5,12,4,15,4,0,2,7,2,8,0,4,7,3,3,0,14,3,0
"Ant308",0,5,0,6,6,7,0,7,0,28,14,2,14,3,21,4,0,0,0,0,3,10,8,20,15,7,0,6,6,20,0,0,12,5,11,8,2,0,2,14,15,3,0,3,4,4,5,0,2,7,1,1,12,13,6,0,1,15,1,2,3,0,5,21,5,0,0,12,2,1,6,0,8,36,0
"Ant620",0,0,0,0,23,0,3,13,4,1,5,1,4,15,2,17,0,0,0,1,0,1,12,0,10,11,12,0,12,0,10,4,10,16,5,1,1,2,16,0,10,10,0,26,18,4,6,6,4,10,3,13,1,1,1,14,0,2,5,4,9,1,0,1,0,13,2,16,18,3,2,1,12,2,0
"Ant13",8,17,4,0,0,0,0,0,0,1,3,3,1,0,0,1,0,0,0,0,9,5,5,1,1,12,0,21,1,14,2,16,6,0,0,1,20,0,1,1,1,5,0,0,0,0,3,0,1,0,13,0,5,3,10,1,4,2,0,0,1,0,9,4,5,0,2,1,0,0,2,0,8,0,0
"Ant27",4,0,14,0,2,0,0,2,0,0,0,1,2,0,8,6,0,1,0,0,10,0,9,0,1,2,7,12,0,8,11,2,3,0,5,1,4,0,6,7,10,1,0,4,10,2,0,0,2,0,13,1,2,0,7,0,0,9,0,0,0,0,1,0,0,0,1,0,2,1,0,0,10,0,0
"Ant29",14,4,5,5,3,0,0,0,1,0,0,7,0,0,3,7,3,0,9,10,0,11,4,4,0,10,3,4,0,3,0,1,5,1,3,1,2,0,1,0,0,7,0,1,0,1,10,0,4,0,9,2,8,0,1,0,2,2,0,2,0,0,0,9,0,0,0,3,0,0,3,0,5,1,0
"Ant32",0,20,2,20,1,8,4,0,0,15,9,8,16,0,10,10,10,1,5,0,11,0,3,0,10,12,3,7,0,6,0,7,7,0,3,4,3,0,1,0,1,16,0,0,1,1,8,0,6,2,14,6,3,24,8,2,3,7,0,3,4,0,13,14,13,0,1,1,16,0,1,0,9,2,0
